"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"LOH3CR2A",56.5009538198833,-0.0999134021728085,0.119170474940389,-0.838407350669592,0.40180196249956,0.568881677185378,"NS"
"LONP1",1739.79000970383,-0.210567189644497,0.0812580884169151,-2.59133821317736,0.00956034824232192,0.0400837029758272,"NS"
"LONP2",1256.80115855178,0.148502959738451,0.0640522171822647,2.31846712371996,0.020423947708275,0.0700699772808642,"NS"
"LONRF1",406.509879485877,-0.160084432066404,0.0743361204553199,-2.15352147900458,0.0312777178896369,0.0950600574057956,"NS"
"LONRF2",397.12432156202,-0.684915306917873,0.182118656423,-3.76081901970025,0.00016935793254928,0.00202508092111824,"NS"
"LONRF3",97.7289581643616,0.3334702293355,0.13315579098607,2.50436144658843,0.0122672641859844,0.0478697275881065,"NS"
"LOX",1240.90132257126,0.30749083194525,0.175289440914606,1.75418913050814,0.0793981050835755,0.185881016317482,"NS"
"LOXHD1",5.278374487477,-0.646904226511541,0.166776030206875,-3.87888011070354,0.000104938454244059,0.00138539795838167,"NS"
"LOXL1",1269.71658190293,-0.226270011654283,0.13698985167026,-1.6517282769159,0.0985899555551435,0.215849099727749,"NS"
"LOXL2",2345.11667486171,0.404435439721642,0.1800918299313,2.24571786446904,0.0247220851707783,0.0803409118199349,"NS"
"LOXL3",196.826872480463,0.128856176011167,0.125446011584751,1.02718431924089,0.304333680387493,0.470969437642464,"NS"
"LOXL4",770.183771898957,-0.0028788688118819,0.18893052992608,-0.0152377109883102,0.987842536131476,0.992770732843014,"NS"
"LPAL2",5.40709711407541,-0.437846929443164,0.158436507114064,-2.76354823404395,0.00571766410015288,0.0278056127199426,"NS"
"LPAR1",344.933518565917,-0.207875489848048,0.13652395726501,-1.52263012303794,0.127851269048531,0.259322113233594,"NS"
"LPAR2",600.713953604355,-0.0779249052258711,0.137025874970904,-0.568687521553267,0.569568217603667,0.715323205957722,"NS"
"LPAR3",10.033613820939,-0.0599532639837088,0.282323247475636,-0.212356809153248,0.831828678603939,0.903040703433576,"NS"
"LPAR4",6.18124735009664,0.12482249350597,0.171600162313278,0.727403120272642,0.466979043609101,0.629018420682712,"NS"
"LPAR5",346.286360043657,0.225280382940921,0.137676866517765,1.63629801170593,0.101777232036002,0.220906520997904,"NS"
"LPAR6",714.362994660118,-0.0408490614284946,0.107279068241208,-0.38077382753408,0.703371081473369,0.817754439664561,"NS"
"LPCAT1",1350.81453394345,-0.419538046437222,0.0983712569470154,-4.26484381167553,2.00042088404656e-05,0.000374761562336206,"NS"
"LPCAT2",950.188982032887,0.481434962958585,0.132089831312333,3.64475416597518,0.000267647514704894,0.00283421669405807,"NS"
"LPCAT3",1300.9093115016,0.0864778131314791,0.0849984492668621,1.01740459828829,0.308960995441715,0.47583707535284,"NS"
"LPCAT4",2647.78707701171,0.343885125269954,0.153983831490501,2.23325476409623,0.0255321487566664,0.082348273339687,"NS"
"LPGAT1",2177.02048537957,0.0103033567540625,0.081910541412541,0.125787921510246,0.899899803065093,0.942403496052598,"NS"
"LPHN1",743.853079813015,-0.928043477437256,0.143123569990378,-6.48421135316597,8.91971114226379e-11,1.4408699423489e-08,"NS"
"LPHN2",841.776835679931,0.0700656456661253,0.117500197513785,0.596302365005855,0.550973251412078,0.700862861892059,"NS"
"LPHN3",47.4191637514112,-0.236326238330603,0.190722636297978,-1.23910954104774,0.215304934120963,0.37212742373607,"NS"
"LPIN1",1029.49369828464,-0.0429228345704695,0.100079124977482,-0.428888987389997,0.668004014896524,0.792780201488299,"NS"
"LPIN2",1868.37798156927,0.0623492435685058,0.107249774487057,0.581346150765383,0.561007182286499,0.709515177065642,"NS"
"LPIN3",637.468254453188,-0.0445011345534319,0.114971687557707,-0.38706168012969,0.698710545605583,0.814987784223733,"NS"
"LPL",437.831503467377,-0.495890695026165,0.186968809812626,-2.65226427618131,0.00799539343385839,0.035421700102092,"NS"
"LPP",450.451944186077,0.372168575853774,0.142086417547505,2.61931141820325,0.00881074728655926,0.0379729236817907,"NS"
"LPPR1",19.139504942403,-0.899555363728376,0.290895401305455,-3.09236708346515,0.00198567135070414,0.0128304341653234,"NS"
"LPPR2",824.960754330995,-0.567184969288185,0.104749948175003,-5.41465632365379,6.14065352789706e-08,3.38091351634024e-06,"NS"
"LPPR3",3.38987187064229,-0.757970742263103,0.247299109143872,-3.06499584607131,0.00217673020364586,0.0137181270802459,"NS"
"LPPR4",132.200200054961,-0.331849455650685,0.176545938196722,-1.87967765806604,0.0601520222932685,0.152957997433461,"NS"
"LPPR5",14.7310700181799,-0.153433639674633,0.235999409359395,-0.650144168119396,0.515599101339816,0.672296939707712,"NS"
"LPXN",427.177633222575,-0.3157495360277,0.121932144844729,-2.58955123302211,0.00961011214550153,0.0402135753341698,"NS"
"LQK1",39.0420847622726,-0.471019189160371,0.170576065661121,-2.76134396308643,0.00575640159026213,0.0279384536366379,"NS"
"LRAT",76.4983039700079,-0.754442687027008,0.255548122008009,-2.95225291071935,0.00315464432317672,0.0180900786154571,"NS"
"LRBA",1699.35647713015,0.111531306905475,0.0825235275473841,1.35150920252936,0.176532374037176,0.324783908954397,"NS"
"LRCH1",907.024886474816,0.111213598511658,0.0738003524004642,1.50695213361825,0.131822926912577,0.265014224445784,"NS"
"LRCH2",87.0144609243229,-0.386891123702164,0.154422198728132,-2.50541131319666,0.0122309067264602,0.0477656550583992,"NS"
"LRCH3",300.242538903418,0.0856290356331795,0.0771241102772606,1.11027583106429,0.266880184572849,0.431804724599915,"NS"
"LRCH4",1582.40086827807,-0.251433467969345,0.0948427533101274,-2.65105618715201,0.008024049154528,0.0355027890627863,"NS"
"LRDD",353.26421089181,-0.262614911592486,0.128093515061013,-2.05018116231254,0.040346755544015,0.114874874489553,"NS"
"LRFN1",50.5717356814312,-0.78531686968753,0.167016787003625,-4.7020235736572,2.57595750906954e-06,7.33912153540728e-05,"NS"
"LRFN2",10.2846233221013,-0.589347402182811,0.290951822703148,-2.02558415584875,0.0428074165290793,0.119808988758978,"NS"
"LRFN3",337.78920705433,-0.376122401013836,0.102917400644615,-3.65460455334106,0.00025757868180017,0.00274798739468182,"NS"
"LRFN4",584.452550358087,0.0478936718379476,0.158159271903818,0.302819248352847,0.762027613671143,0.858048175200847,"NS"
"LRFN5",25.0966295092171,-0.133812069225315,0.187214245379777,-0.714753671409288,0.474761266893045,0.636030514181735,"NS"
"LRG1",950.438575477015,0.285864929467743,0.180125860877453,1.58702880349995,0.112506121208815,0.237217376364799,"NS"
"LRGUK",8.75383847958389,-0.173275761902334,0.186190331925873,-0.930637805465212,0.352040951578165,0.520372687661681,"NS"
"LRIG1",1980.0818058209,-0.103838259179222,0.103492849834657,-1.00333751892152,0.315698039434617,0.48265156511062,"NS"
"LRIG2",177.789237087593,0.0272129608529139,0.0719178309022117,0.378389622038461,0.705141176522201,0.819140594680438,"NS"
"LRIG3",1156.66536734675,0.118444477190503,0.111529177851795,1.06200439626568,0.288233689404009,0.454139139021306,"NS"
"LRIT3",6.87362322333747,-0.32872390141055,0.18331329059224,-1.79323550599372,0.0729352749599927,0.174950862570515,"NS"
"LRMP",297.148701463324,-0.156169771037481,0.174755497388154,-0.893647257863414,0.371510652901515,0.539008380751792,"NS"
